,GRADE,SCPUBPRI,DISTASSI,SCHRTSCHL,SSAMSC,SEGRADES,SEADPLCXX,SEREPEAT,SESUSOUT,SESUSPIN,SEEXPEL,CDOBMM,CDOBYY,CPLCBRTH,CMOVEAGE,CHISPAN,CAMIND,CASIAN,CBLACK,CPACI,CWHITE,CHISPRM,CSEX,CENGLPRG,DISABLTYX,DISBLTY2X,RACEETHN,RACEETH2,ZIP18PO2,ZIPBLHI2,ZIPLOCL,S16NUMST,S16PBPV,S16TYPE,AGE2015,target
8767,10,4,1,2,1,1,-1,2,2,2,2,10,2003,1,-1,2,2,1,2,2,2,2,1,-1,2,2,4,4,1,3,13,5,1,4,12,False
8372,10,4,1,2,1,1,-1,2,2,2,2,12,2002,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,1,21,3,1,4,13,False
4332,8,4,1,2,1,1,-1,2,2,2,2,6,2005,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,3,21,3,1,4,10,False
9441,5,1,-1,-1,1,2,-1,2,2,2,2,7,2008,1,-1,2,2,2,2,2,1,2,2,-1,1,1,1,1,2,3,21,2,2,1,7,False
9554,14,4,1,2,1,3,2,2,1,2,2,3,1999,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,41,3,1,4,16,False
1271,9,4,1,2,1,2,-1,2,2,2,2,7,2003,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,2,21,3,1,4,12,False
1464,8,4,1,2,1,5,-1,2,2,2,2,11,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,1,2,21,2,1,4,10,False
9370,8,4,1,2,1,2,-1,2,2,2,2,2,2005,1,-1,2,2,2,2,2,1,2,2,-1,2,1,1,1,1,1,22,2,1,4,10,False
7230,15,4,1,2,1,1,1,2,2,2,2,11,1997,1,-1,2,2,2,2,2,1,2,2,-1,2,2,1,1,2,2,41,3,1,4,18,False
1066,13,4,1,2,1,1,1,2,1,1,2,9,2000,3,10,1,2,2,2,2,1,2,2,2,1,1,3,3,3,4,11,5,1,4,15,False
9323,2,4,1,2,1,5,-1,2,2,2,2,3,2010,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,2,2,41,2,1,4,5,False
9885,13,4,1,2,1,2,1,2,2,2,2,10,1999,1,-1,2,2,2,2,2,1,2,1,-1,1,1,1,1,1,2,21,5,1,4,16,False
6525,14,4,1,2,1,2,2,2,2,2,2,9,1999,1,-1,1,2,2,2,2,1,2,1,1,2,2,3,3,3,4,11,4,1,4,16,False
4971,12,4,2,2,1,1,2,2,2,2,2,8,2001,1,-1,1,2,2,1,2,2,2,2,-1,2,2,3,3,2,4,21,5,1,4,14,False
11669,5,4,1,2,1,5,-1,2,2,2,2,1,2008,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,31,2,1,4,7,False
553,15,4,1,2,1,1,1,2,2,2,2,1,1998,1,-1,2,2,2,2,2,1,2,1,-1,2,2,1,1,1,1,41,4,1,4,17,False
